winner_name,loser_name,ranking_difference,height_difference,age_difference,player1_hand,player2_hand,player1_h2h_win_pct,match_type,player1_recent_win_pct,player2_recent_win_pct,target
Marcos Baghdatis,Ernests Gulbis,-130.0,-7.0,3.1999999999999993,1,1,0.5,0,0.6666666666666666,0.5,6.0
Nicolas Massu,Juan Carlos Ferrero,18.0,0.0,0.3000000000000007,1,1,0.5,0,0.5,0.5,6.0
Richard Gasquet,Julien Benneteau,-19.0,0.0,-4.5,1,1,0.5,0,0.6666666666666666,0.6666666666666666,7.0
Juan Ignacio Chela,Nicolas Mahut,-34.0,0.0,2.400000000000002,1,1,0.5,0,0.5,0.5,4.0
Benjamin Becker,Filippo Volandri,15.0,-5.0,0.1999999999999993,1,1,0.5,0,0.0,0.0,7.0
Mardy Fish,Robert Kendrick,-45.0,-2.0,-2.1000000000000014,1,1,0.5,0,0.5,0.5,6.0
Paul Henri Mathieu,Arnaud Clement,10.0,12.0,-4.100000000000001,1,1,0.5,0,0.5,0.5,3.0
Mario Ancic,Lukas Rosol,-279.0,0.0,1.3000000000000007,1,1,0.5,0,0.5,0.5,4.0
Nikolay Davydenko,Vincent Spadea,-67.0,-5.0,-6.799999999999997,1,1,0.5,0,0.75,0.6666666666666666,2.0
Tommy Robredo,Alberto Martin,-53.0,5.0,-3.6999999999999993,1,1,0.5,0,1.0,0.5,6.0
Jurgen Melzer,Chris Guccione,-67.0,-18.0,4.200000000000003,0,0,0.5,0,0.5,0.8,4.0
Philipp Kohlschreiber,Dominik Hrbaty,41.0,-5.0,-5.800000000000001,1,1,0.5,0,0.5,0.3333333333333333,7.0
Tomas Berdych,Ivo Minar,-148.0,13.0,-1.3000000000000007,1,1,0.5,0,1.0,1.0,7.0
Juan Monaco,Olivier Rochus,35.0,17.0,-3.1999999999999993,1,1,0.5,0,1.0,0.75,3.0
James Blake,Nathan Healey,-158.0,5.0,0.1999999999999993,1,1,0.5,0,1.0,0.5,6.0
Agustin Calleri,Florent Serra,-46.0,3.0,4.5,1,1,0.5,0,1.0,0.6666666666666666,7.0
Evgeny Korolev,Robby Ginepri,50.0,2.0,-5.399999999999999,1,1,0.5,0,0.5,1.0,-2.0
Kristof Vliegen,Nicolas Almagro,7.0,10.0,3.1999999999999993,1,1,0.5,0,0.5,0.5,-1.0
Carlos Moya,Fernando Verdasco,9.0,2.0,7.199999999999999,1,0,0.5,0,0.8,1.0,2.0
David Ferrer,Daniele Bracciali,-50.0,-5.0,-4.199999999999999,1,1,0.5,0,1.0,0.5,11.0
Marcos Baghdatis,Jan Hernych,-64.0,-7.0,-6.0,1,1,0.5,0,0.75,0.3333333333333333,4.0
Juan Ignacio Chela,Nicolas Massu,-9.0,7.0,0.10000000000000142,1,1,0.5,0,1.0,1.0,3.0
Richard Gasquet,Benjamin Becker,-40.0,7.0,-5.0,1,1,0.5,0,0.75,0.3333333333333333,5.0
Mardy Fish,Mario Ancic,36.0,-8.0,2.3000000000000007,1,1,0.5,0,1.0,1.0,4.0
Paul Henri Mathieu,Nikolay Davydenko,48.0,7.0,-0.7000000000000028,1,1,0.5,0,0.6666666666666666,0.8,2.0
Tommy Robredo,Philipp Kohlschreiber,-56.0,2.0,1.4000000000000021,1,1,0.5,0,1.0,0.6666666666666666,4.0
Jurgen Melzer,Tomas Berdych,27.0,-13.0,4.300000000000001,0,1,0.5,0,0.6666666666666666,1.0,6.0
Agustin Calleri,Juan Monaco,-41.0,-2.0,7.600000000000001,1,1,0.5,0,1.0,1.0,3.0
James Blake,Evgeny Korolev,-97.0,0.0,8.2,1,1,0.5,0,1.0,0.6,7.0
David Ferrer,Kristof Vliegen,-23.0,-18.0,0.1999999999999993,1,1,0.5,0,1.0,0.6666666666666666,4.0
Carlos Moya,Marcos Baghdatis,33.0,7.0,8.8,1,1,0.5,0,0.8,0.8,3.0
Mardy Fish,Juan Ignacio Chela,12.0,-2.0,-2.3000000000000007,1,1,0.5,0,1.0,1.0,2.0
Richard Gasquet,Paul Henri Mathieu,-33.0,0.0,-4.399999999999999,1,1,0.5,0,0.8,0.75,7.0
Tommy Robredo,Agustin Calleri,-23.0,-3.0,-5.699999999999999,1,1,0.5,0,1.0,1.0,8.0
James Blake,Jurgen Melzer,-35.0,2.0,1.3999999999999986,1,0,0.5,0,1.0,0.75,0.0
David Ferrer,Mardy Fish,-29.0,-13.0,-0.3000000000000007,1,1,0.5,0,1.0,1.0,9.0
Carlos Moya,Richard Gasquet,26.0,5.0,9.8,1,1,0.5,0,0.8,0.8,5.0
David Ferrer,Tommy Robredo,9.0,-5.0,0.09999999999999787,1,1,0.5,0,1.0,1.0,6.0
James Blake,Carlos Moya,-39.0,-5.0,-3.3000000000000007,1,1,0.5,0,1.0,0.8,6.0
