playerA_market_prob,bookie_margin,log_target,playerA_points_won_pct,minutes,playerA,playerB,pseudo_date
-0.7420452169149768,0.7737060926750878,0,0.4879,131.0,Wesley Moodie,Jarkko Nieminen,2004-01-05
-0.36616982252335883,-0.1695577259439636,1,0.6139,61.0,Ivo Heuberger,Sultan Khalfan,2004-01-05
-0.6609164991599913,0.39293904662703005,0,0.4577,97.0,Galo Blanco,John Van Lottum,2004-01-05
0.18125490617159112,1.0765889702133158,0,0.4798,142.0,Mario Ancic,Alberto Martin,2004-01-05
-0.16077639254545,0.8688978541871026,0,0.4839,119.0,Alexander Popp,Antony Dupuis,2004-01-05
1.3682233619618622,1.3275490687449902,1,0.581,65.0,Taylor Dent,Luis Horna,2004-01-05
-0.40185775269236695,1.0419737842089472,0,0.4636,99.0,Kristian Pless,Jean Rene Lisnard,2004-01-05
0.00793446369503132,2.071775567838921,1,0.625,63.0,Karol Beck,Brian Vahaly,2004-01-05
-0.3456208006122066,0.410246639629215,1,0.6522,66.0,Bohdan Ulihrach,Nicolas Kiefer,2004-01-05
0.5057689422314866,-0.1695577259439636,1,0.6471,53.0,Thomas Johansson,Christophe Rochus,2004-01-05
0.17664531993551238,0.8688978541871026,1,0.5305,94.0,David Ferrer,Fernando Verdasco,2004-01-05
1.6950430260998435,-0.23878809795270214,1,0.6195,75.0,Tim Henman,David Sanchez,2004-01-05
-0.5682638158148089,-0.195519115447241,0,0.4643,95.0,Ruben Ramirez Hidalgo,Igor Andreev,2004-01-05
0.41772668008242964,1.0419737842089472,1,0.5625,105.0,Sargis Sargsian,Gregory Carraz,2004-01-05
-0.05982645397532585,0.9035130401914713,0,0.4774,141.0,Ivo Karlovic,Wayne Arthurs,2004-01-05
0.4181876387060374,1.0765889702133158,1,0.5984,63.0,Harel Levy,Albert Portas,2004-01-05
0.8293627309642597,1.0419737842089472,0,0.4605,110.0,Rainer Schuettler,Mikhail Youzhny,2004-01-05
